1286,ＰａｙＰａｙ,,
1290,住信ＳＢＩネット,,
1291,ａｕじぶん,ｴ-ﾕ-ｼﾞﾌﾞﾝ,
1315,第四北越,ﾀﾞｲｼﾎｸｴﾂ,
1316,,,0
1328,三十三,ｻﾝｼﾞﾕｳｻﾝ,
1431,,,0
1350,十八親和,ｼﾞﾕｳﾊﾁｼﾝﾜ,
1349,,,0
1371,日本カストディ,ﾆﾎﾝｶｽﾄﾃﾞｲ,
1372,,,0
1597,はくさん信金,ﾊｸｻﾝｼﾝｷﾝ,
1598,,,0
1462,,,0
1680,備前日生信金,ﾋﾞｾﾞﾝﾋﾅｾｼﾝｷﾝ,
1679,,,0
1956,るもい農協,ﾙﾓｲﾉｳｷﾖｳ,
1954,,,0
1955,,,0
1957,,,0
1975,,,0
1995,,,0
2013,しれとこ斜里農協,ｼﾚﾄｺｼﾔﾘﾉｳｷﾖｳ,
2203,,,0
2205,,,0
2212,,,0
2213,,,0
2216,,,0
2217,,,0
2218,新潟かがやき農協,ﾆｲｶﾞﾀｶｶﾞﾔｷﾉｳｷﾖｳ,
2273,,,0
2274,,,0
2275,,,0
2276,,,0
2277,富士伊豆農協,ﾌｼﾞｲｽﾞﾉｳｷﾖｳ    ,
2278,,,0
2279,,,0
2280,,,0
2290,,,0
2314,みえなか農協,ﾐｴﾅｶﾉｳｷﾖｳ,
2315,,,0
2316,,,0
2320,福井県農協,ﾌｸｲｹﾝﾉｳｷﾖｳ ,
2321,,,0
2322,,,0
2323,,,0
2324,,,0
2325,,,0
2326,,,0
2327,,,0
2329,,,0
2330,,,0
2331,レーク滋賀農協,ﾚ-ｸｼｶﾞﾉｳｷﾖｳ,
2332,,,0
2333,,,0
2334,,,0
2343,,,0
2344,,,0
2345,,,0
2346,,,0
2397,晴れの国岡山農協,ﾊﾚﾉｸﾆｵｶﾔﾏﾉｳｷﾖｳ ,
2394,,,0
2395,,,0
2396,,,0
2398,,,0
2399,,,0
2400,,,0
2401,,,0
2425,阿波市農協,ｱﾜｼﾉｳｷﾖｳ,
2426,,,0
2427,,,0
2434,えひめ未来農協,ｴﾋﾒﾐﾗｲﾉｳｷﾖｳ    ,
2433,,,0
2444,,,0
2481,,,0
2531,東日本信漁連,ﾋｶﾞｼﾆﾎﾝｼﾝｷﾞﾖﾚﾝ ,
2526,,,0
2527,,,0
2530,,,0
2532,,,0
2534,,,0
2535,,,0
2536,,,0
2537,,,0
2539,,,0
2540,,,0
2495,,,0
2496,,,0
2551,九州信漁連,ｷﾕｳｼﾕｳｼﾝｷﾞﾖﾚﾝ  ,
2552,,,0
2553,,,0
2555,,,0
2556,,,0
2557,,,0
